id,comment_text,split,created_date,publication_id,parent_id,article_id,rating,funny,wow,sad,likes,disagree,toxicity,severe_toxicity,obscene,sexual_explicit,identity_attack,insult,threat,male,female,transgender,other_gender,heterosexual,homosexual_gay_or_lesbian,bisexual,other_sexual_orientation,christian,jewish,muslim,hindu,buddhist,atheist,other_religion,black,white,asian,latino,other_race_or_ethnicity,physical_disability,intellectual_or_learning_disability,psychiatric_or_mental_illness,other_disability,identity_annotator_count,toxicity_annotator_count,Z
5808069,"What exactly is he telling like it is by implying racism and white privilege are the reason Henderson seems more marketable and popular?

In the past 50 years, the most popular athletes in North America and arguably the world have been Muhammad Ali, Micheal Jordan and Tiger Woods (before his serial infidelity became known publicly).   The most popular women's athlete is probably Serena Williams.

None of these popular athletes is blond, blue eyed or white.

All are English speaking Americans who live and play in the US and are good at their sport, good for their sport, and active in charitable causes and fundraising.

The golfers US American cited are South Koreans and Japanese, most speak at best fractured English, identify with and spend their leisure time in their home countries and are as charismatic to an English speaking NA TV audience as Robert Stanfield on valium.

I'm getting sick of this Black Lives Matter, whites are evil, so are cops, so are conservatives crap.",train,2017-08-20 21:26:49.902280+00,54,5807104.0,368621,approved,0,0,0,1,0,0.5,0.1,0.2,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4,10,1
5301556,"What a fing joke . Alt righters on social media encouraging attacking peaceful protesters , one talking about Boston bombing type attacks to come here in the US , interfering with foreign elections . Nooses with bananas on college campuses , threats to lynch a black politician who says Trump rightfully must be impeached . We libs are violent ? Go make love to one of your farm animals or go suck on Trumps tiny ....",train,2017-05-25 13:26:09.925826+00,13,,337351,rejected,0,0,0,0,0,0.8,0.1142857142857142,0.4857142857142857,0.6,0.3285714285714285,0.6714285714285714,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,70,0
387275,"Perhaps I'm coming across wrong.  Most blacks are good law abiding people . When I talk about thugs I'm talking about those roving groups that en mass are breaking into stores and burning things people spent a lifetime to build , using the current event as their excuse for doing it . When I say average American's I'm talking about all those who obey the laws and don't harm anyone else--regardless of their color. In Furgunson Obama sent in the feds when it was clear from the beginning the thug , who just a half hour before was shown on video robbing a store , attacked the policeman. Even though the policeman was cleared he will be in hiding for the rest of his life from blacks seeking to hurt him.  The author of this story claims the problems today are exactly like 50 years ago--claiming nothing has changed. That's an outright lie.  Obama has bad mouthed police so badly blacks feel empowered to disrespect them when ever the opportunity presents itself. Police are hero's , not assassins.",train,2016-07-14 03:46:43.500393+00,21,387067.0,141284,approved,0,0,0,0,0,0.7,0.0,0.0,0.0,0.6,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,0
5778639,"They are trying to ethnically cleanse white people, the politicians are just whore puppets looking to profit off the ethnic cleansing of white people. The multiculturalists cannot stop white self determination, they have the right to separate from the 3rd world multicultural cesspool. You cannot force people to support their own genocide.",train,2017-08-16 11:56:14.794302+00,54,5778487.0,367023,rejected,0,0,0,0,0,0.6,0.1,0.1,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,1
5918953,"When Magaqa spoke about ""economic freedom in our lifetime"" you never backed him sir. When he spoke about White Monopoly Capital (WMC) still you did not back him. Today you are, however, one of the vociferous enemies of WMC because the Gupta have told you it is bad......ya ne. Any rubbish that the Guptas say must be right because they can pay you to believe  it is right.",train,2017-09-08 08:14:48.263972+00,100,,374942,approved,0,0,0,0,0,0.5,0.0,0.0,0.0,0.1,0.5,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10,1
489732,"AKAdventure: I suspect you're a well -to-do white guy, comfortable, following a happy normal childhood. But for those whose entire culture was extinguished by the phrase and deed of ""Save the man - kill the Indian"", your comfort is unavailable. 

You apparently believe that assimilation is the greater good, but its not.",train,2016-09-24 04:45:32.077477+00,21,488451.0,146546,rejected,0,0,0,0,0,0.6,0.0,0.1,0.0,0.6,0.2,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,5,10,1
281440,"What a jerk, I see why Ben Stevens called em valley trash...I just can't even fathom why a white guy like this thinks the way he does?",train,2016-04-14 04:17:55.703345+00,21,,101925,approved,0,0,0,2,0,0.8947368421052628,0.0394736842105263,0.1973684210526316,0.0,0.3947368421052632,0.8684210526315791,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,76,1
6142918,"knowing that the board is inept and not doing its job, are to continue this stupidity?  don't believe the condition that existed during the massie case exists now.  the high class whites do not have much influence.  the interference during that time came from high powered white citizens who pressured governments to do as they desired.  conditions change so we should change too, clinging to old and outdated policies seem awfully stupid.",train,2017-10-13 21:08:37.683936+00,22,6142249.0,388730,approved,0,0,0,0,0,0.8709677419354838,0.0,0.0806451612903225,0.0,0.1935483870967741,0.7903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,62,1
570562,Wolfie.  for a racist you should at least one time in your life make sense instead of radical white man hatred.,train,2016-11-02 18:17:47.975835+00,21,570421.0,150316,rejected,0,0,0,0,0,0.5454545454545454,0.0151515151515151,0.0151515151515151,0.0,0.3939393939393939,0.3484848484848485,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,66,1
6183260,This time the (reverse) racists have gone too far....a black politician attacking a white president because he made a condolence phone call to a black family. Shameful politicizing. And stupid hats (Ms Wilson's trademark),train,2017-10-19 21:16:26.540323+00,54,,391147,rejected,0,0,0,0,0,0.7714285714285714,0.0,0.1142857142857142,0.0,0.4714285714285714,0.7285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,70,1
